Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded,ADA_start_date,price_close,volume_traded
July,2018-07-13T00:00:00.0000000Z,7316.9,18683.44147,2018-07-13T00:00:00.0000000Z,499.3,196595.3227,2018-07-13T00:00:00.0000000Z,88.69,40325.62085,2018-07-13T00:00:00.0000000Z,0.5079,19403848.84,2018-07-13T00:00:00.0000000Z,0.25485,25488032.47,2018-07-13T00:00:00.0000000Z,0.5079,19403848.84,2018-07-13T00:00:00.0000000Z,0.9999,7632450.511,2018-07-13T00:00:00.0000000Z,260.664,8044.249676,2018-07-13T00:00:00.0000000Z,0,0
July,2018-07-18T00:00:00.0000000Z,7401.1,22902.05838,2018-07-18T00:00:00.0000000Z,457.34,226109.3528,2018-07-18T00:00:00.0000000Z,82.33,49912.36432,2018-07-18T00:00:00.0000000Z,0.44979,22515860.66,2018-07-18T00:00:00.0000000Z,0.283689,78780175.22,2018-07-18T00:00:00.0000000Z,0.44979,22515860.66,2018-07-18T00:00:00.0000000Z,0.9988,8853157.019,2018-07-18T00:00:00.0000000Z,249.613,10855.11989,2018-07-18T00:00:00.0000000Z,0,0
July,2018-07-23T00:00:00.0000000Z,8177,31192.39657,2018-07-23T00:00:00.0000000Z,469.01,130965.2547,2018-07-23T00:00:00.0000000Z,84.2,42199.99147,2018-07-23T00:00:00.0000000Z,0.4532,21890980.07,2018-07-23T00:00:00.0000000Z,0.316443,43221764.06,2018-07-23T00:00:00.0000000Z,0.4532,21890980.07,2018-07-23T00:00:00.0000000Z,0.9998,7872808.258,2018-07-23T00:00:00.0000000Z,243.829,6779.398925,2018-07-23T00:00:00.0000000Z,0,0
July,2018-07-28T00:00:00.0000000Z,7604.1,19523.02838,2018-07-28T00:00:00.0000000Z,419.82,92861.3459,2018-07-28T00:00:00.0000000Z,77.48,28937.78918,2018-07-28T00:00:00.0000000Z,0.446,13038517.65,2018-07-28T00:00:00.0000000Z,0.276001,78486857.09,2018-07-28T00:00:00.0000000Z,0.446,13038517.65,2018-07-28T00:00:00.0000000Z,0.9987,6270600.254,2018-07-28T00:00:00.0000000Z,218.73,6319.538964,2018-07-28T00:00:00.0000000Z,0,0
Aug,2018-08-02T00:00:00.0000000Z,6935.7,21425.62208,2018-08-02T00:00:00.0000000Z,405.01,91371.66207,2018-08-02T00:00:00.0000000Z,73.57,21252.03855,2018-08-02T00:00:00.0000000Z,0.41239,10059263.34,2018-08-02T00:00:00.0000000Z,0.23314,28776617.48,2018-08-02T00:00:00.0000000Z,0.41239,10059263.34,2018-08-02T00:00:00.0000000Z,0.997,3962597.947,2018-08-02T00:00:00.0000000Z,199.99,5851.522656,2018-08-02T00:00:00.0000000Z,0,0
Aug,2018-08-07T00:00:00.0000000Z,6231.8,36560.27384,2018-08-07T00:00:00.0000000Z,317.8,245639.4785,2018-08-07T00:00:00.0000000Z,57.75,66633.15824,2018-08-07T00:00:00.0000000Z,0.2984,37564020.23,2018-08-07T00:00:00.0000000Z,0.2166,47007047.46,2018-08-07T00:00:00.0000000Z,0.2984,37564020.23,2018-08-07T00:00:00.0000000Z,1,8205376.717,2018-08-07T00:00:00.0000000Z,165.236,13983.23085,2018-08-07T00:00:00.0000000Z,0,0
Aug,2018-08-12T00:00:00.0000000Z,6316,32934.00892,2018-08-12T00:00:00.0000000Z,286.68,419090.8616,2018-08-12T00:00:00.0000000Z,55.32,74799.10514,2018-08-12T00:00:00.0000000Z,0.29291,34549345.35,2018-08-12T00:00:00.0000000Z,0.214,35596776.37,2018-08-12T00:00:00.0000000Z,0.29291,34549345.35,2018-08-12T00:00:00.0000000Z,0.9993,7856871.014,2018-08-12T00:00:00.0000000Z,149.504,10151.96072,2018-08-12T00:00:00.0000000Z,0,0
Aug,2018-08-17T00:00:00.0000000Z,6475.5,15703.11834,2018-08-17T00:00:00.0000000Z,280.48,258439.662,2018-08-17T00:00:00.0000000Z,56.4,40295.72,2018-08-17T00:00:00.0000000Z,0.33387,28685020.66,2018-08-17T00:00:00.0000000Z,0.2195,20306554.78,2018-08-17T00:00:00.0000000Z,0.33387,28685020.66,2018-08-17T00:00:00.0000000Z,0.9991,2856982.798,2018-08-17T00:00:00.0000000Z,141.896,7129.770938,2018-08-17T00:00:00.0000000Z,0,0
Aug,2018-08-22T00:00:00.0000000Z,6710,18471.02183,2018-08-22T00:00:00.0000000Z,274.07,174267.5592,2018-08-22T00:00:00.0000000Z,57.02,31243.7348,2018-08-22T00:00:00.0000000Z,0.3227,15705109.1,2018-08-22T00:00:00.0000000Z,0.213468,8455947.349,2018-08-22T00:00:00.0000000Z,0.3227,15705109.1,2018-08-22T00:00:00.0000000Z,0.999,2894339.345,2018-08-22T00:00:00.0000000Z,140.521,3665.01356,2018-08-22T00:00:00.0000000Z,0,0
Aug,2018-08-27T00:00:00.0000000Z,7015.8,19802.26211,2018-08-27T00:00:00.0000000Z,281.6,188723.0741,2018-08-27T00:00:00.0000000Z,62.16,33338.08524,2018-08-27T00:00:00.0000000Z,0.335,21212285.75,2018-08-27T00:00:00.0000000Z,0.223409,22347731.38,2018-08-27T00:00:00.0000000Z,0.335,21212285.75,2018-08-27T00:00:00.0000000Z,0.9998,8888986.545,2018-08-27T00:00:00.0000000Z,195.1,19468.76106,2018-08-27T00:00:00.0000000Z,0,0
Sept,2018-09-01T00:00:00.0000000Z,6686.6,18985.90813,2018-09-01T00:00:00.0000000Z,227.92,287103.9222,2018-09-01T00:00:00.0000000Z,57.58,48081.26432,2018-09-01T00:00:00.0000000Z,0.27867,25184424.67,2018-09-01T00:00:00.0000000Z,0.204448,14664689.52,2018-09-01T00:00:00.0000000Z,0.27867,25184424.67,2018-09-01T00:00:00.0000000Z,0.9963,11736229.56,2018-09-01T00:00:00.0000000Z,172.051,12040.09197,2018-09-01T00:00:00.0000000Z,0,0
Sept,2018-09-06T00:00:00.0000000Z,6304.5,24179.5049,2018-09-06T00:00:00.0000000Z,196.98,458875.7566,2018-09-06T00:00:00.0000000Z,54.29,35230.46793,2018-09-06T00:00:00.0000000Z,0.2695,35737157.42,2018-09-06T00:00:00.0000000Z,0.190249,14348012.96,2018-09-06T00:00:00.0000000Z,0.2695,35737157.42,2018-09-06T00:00:00.0000000Z,0.9966,6389857.99,2018-09-06T00:00:00.0000000Z,201.244,10435.18158,2018-09-06T00:00:00.0000000Z,0,0
Sept,2018-09-11T00:00:00.0000000Z,6520,17879.30845,2018-09-11T00:00:00.0000000Z,221.76,718821.9459,2018-09-11T00:00:00.0000000Z,56.28,57454.34003,2018-09-11T00:00:00.0000000Z,0.2816,34370483.93,2018-09-11T00:00:00.0000000Z,0.203254,17813708.41,2018-09-11T00:00:00.0000000Z,0.2816,34370483.93,2018-09-11T00:00:00.0000000Z,0.9994,9436932.589,2018-09-11T00:00:00.0000000Z,191.8,6344.978024,2018-09-11T00:00:00.0000000Z,0,0
Sept,2018-09-16T00:00:00.0000000Z,6491.2,21782.76144,2018-09-16T00:00:00.0000000Z,223.82,602103.6284,2018-09-16T00:00:00.0000000Z,56.54,43900.62645,2018-09-16T00:00:00.0000000Z,0.44824,67852419.3,2018-09-16T00:00:00.0000000Z,0.231471,24957949.86,2018-09-16T00:00:00.0000000Z,0.44824,67852419.3,2018-09-16T00:00:00.0000000Z,0.999,16304474.48,2018-09-16T00:00:00.0000000Z,199.602,7170.122531,2018-09-16T00:00:00.0000000Z,0,0
Sept,2018-09-21T00:00:00.0000000Z,6435,20452.99045,2018-09-21T00:00:00.0000000Z,219.1,590855.8356,2018-09-21T00:00:00.0000000Z,57.55,74806.09873,2018-09-21T00:00:00.0000000Z,0.5246,159970768.2,2018-09-21T00:00:00.0000000Z,0.253766,75370146.67,2018-09-21T00:00:00.0000000Z,0.5246,159970768.2,2018-09-21T00:00:00.0000000Z,0.9987,4297836.913,2018-09-21T00:00:00.0000000Z,190,9685.713235,2018-09-21T00:00:00.0000000Z,,
Sept,2018-09-26T00:00:00.0000000Z,6604.1,16979.20353,2018-09-26T00:00:00.0000000Z,231.96,441459.7762,2018-09-26T00:00:00.0000000Z,60.96,75344.9588,2018-09-26T00:00:00.0000000Z,0.5792,70264331.14,2018-09-26T00:00:00.0000000Z,0.25967,22503029.03,2018-09-26T00:00:00.0000000Z,0.5792,70264331.14,2018-09-26T00:00:00.0000000Z,0.9964,7335183.453,2018-09-26T00:00:00.0000000Z,186.31,4310.372158,2018-09-26T00:00:00.0000000Z,0.085512,7543097.95
Oct,2018-10-01T00:00:00.0000000Z,6580.1,15086.83902,2018-10-01T00:00:00.0000000Z,226.66,239110.0132,2018-10-01T00:00:00.0000000Z,58.55,47213.8244,2018-10-01T00:00:00.0000000Z,0.51708,48571485.56,2018-10-01T00:00:00.0000000Z,0.2456,20875221.75,2018-10-01T00:00:00.0000000Z,0.51708,48571485.56,2018-10-01T00:00:00.0000000Z,0.992,10423838.68,2018-10-01T00:00:00.0000000Z,181.172,4859.254586,2018-10-01T00:00:00.0000000Z,0.083434,12421919.79
Oct,2018-10-06T00:00:00.0000000Z,6530.5,8719.20201,2018-10-06T00:00:00.0000000Z,223.33,184242.9669,2018-10-06T00:00:00.0000000Z,57.58,24358.06253,2018-10-06T00:00:00.0000000Z,0.45889,31855915.5,2018-10-06T00:00:00.0000000Z,0.23995,5930792.529,2018-10-06T00:00:00.0000000Z,0.45889,31855915.5,2018-10-06T00:00:00.0000000Z,0.9821,5637548.893,2018-10-06T00:00:00.0000000Z,177.012,2016.562126,2018-10-06T00:00:00.0000000Z,0.08454,6886420.329
